provider_id,hospital_name,city,state,number_of_deaths_among_cancer_patients_assigned_to_hospital_2003_07,percent_of_cancer_patients_dying_in_hospital_2003_07,percent_of_cancer_patients_dying_in_hospital_2003_07_2,percent_of_cancer_patients_dying_in_hospital_2003_07_3,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_deaths_2003_07_3,hospital_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07,hospital_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_2,hospital_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_deaths_2003_07_3,icu_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07,icu_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_2,icu_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_deaths_2003_07,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_deaths_2003_07_2,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_deaths_2003_07_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_deaths_2003_07_3,hospice_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07,hospice_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_2,hospice_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_deaths_2003_07,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_deaths_2003_07_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_deaths_2003_07_3,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_deaths_2003_07,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_deaths_2003_07_2,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_deaths_2003_07_3
10056,St. Vincent's Hospital,Birmingham,AL,81,34.4068,23.5921,50.1791,50.8097,37.409,69.0107,3.7866,2.4525,5.1208,,,,,,,,,,,,,61.7109,46.8941,81.2091,12.0886,9.6749,14.5024,,,,32.8345,22.353,48.2309
10078,NE Alabama Regional Medical Center,Anniston,AL,95,40.4029,29.5113,55.3142,71.6414,56.5743,90.7212,6.9127,5.6805,8.145,18.2848,11.5173,29.0287,0.5709,-0.1074,1.2491,11.0194,6.0994,19.908,,,,46.596,34.6701,62.6243,7.8791,5.6497,10.1086,,,,42.0559,30.7206,57.5737
10090,Providence Hospital,Mobile,AL,125,24.4964,17.2237,34.8401,65.2477,52.6099,80.9214,4.9254,3.851,5.9997,21.1385,14.4926,30.8319,0.9273,0.336,1.5186,,,,,,,68.71,55.6097,84.8965,10.9803,9.0366,12.9241,,,,54.9954,43.1956,70.0185
10092,DCH Regional Medical Center,Tuscaloosa,AL,156,34.6814,26.6174,45.1885,64.7203,53.242,78.6731,6.2371,5.275,7.1992,18.1219,12.5892,26.0862,0.6343,0.1048,1.1639,,,,,,,59.0421,48.0648,72.5264,10.3225,8.5819,12.0631,,,,43.9484,34.7583,55.5683
10103,Baptist Princeton,Birmingham,AL,116,35.3876,26.3235,47.5728,64.6203,51.597,80.9307,6.2394,5.1237,7.355,25.6152,18.1064,36.2378,1.3951,0.781,2.0091,12.9883,8.1756,20.6342,,,,55.3613,43.1509,71.0268,10.018,7.9995,12.0365,,,,44.9967,34.4507,58.771
10104,Trinity Medical Center,Birmingham,AL,96,31.4467,21.8488,45.2606,61.2697,47.2554,79.4401,5.4045,4.1788,6.6302,24.9054,16.5467,37.4864,0.6433,-0.0313,1.318,11.9808,6.6324,21.642,,,,54.3815,41.5399,71.1929,8.6352,6.4176,10.8527,,,,52.9827,40.3641,69.5462
10113,Mobile Infirmary Medical Center,Mobile,AL,216,27.8575,21.6222,35.8909,64.0687,54.2108,75.7191,5.7387,4.9207,6.5566,21.1456,15.8324,28.2417,0.8869,0.4367,1.3371,11.1188,7.5641,16.3439,6.953,4.1148,11.7488,65.7453,55.7577,77.5219,11.0642,9.5844,12.544,7.9509,4.8682,12.9856,57.047,47.7865,68.102
10139,Brookwood Medical Center,Birmingham,AL,116,26.2395,18.4498,37.3181,63.4194,50.4915,79.6574,6.5586,5.4435,7.6738,17.1232,11.045,26.5463,0.5674,-0.0463,1.1812,,,,9.6731,5.4902,17.0428,58.6003,46.1968,74.3341,8.2915,6.2741,10.309,,,,51.8681,40.178,66.9596
20001,Providence Alaska Medical Center,Anchorage,AK,89,32.6321,22.8119,46.6796,61.6401,47.5416,79.9194,5.317,4.0441,6.5898,22.9964,14.9911,35.2765,1.2152,0.5146,1.9158,,,,,,,39.607,28.4348,55.1689,6.6621,4.3593,8.9649,,,,37.4279,26.3181,53.2274
30002,Banner Good Samaritan Medical Center,Phoenix,AZ,102,19.483,12.5677,30.2036,57.1056,44.1432,73.8742,6.0164,4.8274,7.2055,36.531,26.4615,50.4324,2.157,1.5025,2.8115,11.1305,6.1617,20.1061,,,,72.2035,57.4834,90.693,12.9252,10.7739,15.0765,11.6053,6.5882,20.443,56.3137,43.5259,72.8585
30006,Tucson Medical Center,Tucson,AZ,131,17.6452,11.7243,26.5562,57.125,45.686,71.4283,4.8027,3.7535,5.8519,21.7035,14.983,31.4386,1.3308,0.7533,1.9083,12.414,7.4818,20.5978,,,,73.8697,60.5932,90.0552,10.557,8.6587,12.4552,16.2612,10.7029,24.7059,60.7059,48.1768,76.4934
30012,Yavapai Regional Medical Center,Prescott,AZ,94,22.3981,14.6015,34.3577,62.1931,48.2844,80.1084,4.7031,3.4645,5.9416,15.9604,9.6204,26.4785,0.4748,-0.2069,1.1565,,,,,,,66.0648,51.5004,84.7481,11.4831,9.2423,13.7239,,,,29.5554,20.1206,43.4143
30013,Yuma Regional Medical Center,Yuma,AZ,150,34.7455,26.6006,45.3843,68.5456,56.4945,83.1675,5.9913,5.01,6.9725,18.4764,12.8349,26.5974,0.5507,0.0106,1.0908,9.1137,5.3939,15.3987,,,,44.9547,35.3101,57.2338,6.6885,4.9133,8.4637,8.47,4.9149,14.5967,42.7212,33.6126,54.298
30024,St. Joseph's Hospital & Medical Center,Phoenix,AZ,82,18.8914,11.5722,30.8397,58.5308,44.3581,77.2318,4.8384,3.5124,6.1643,34.6745,24.0919,49.9057,1.4589,0.7291,2.1887,13.5425,7.4977,24.4607,,,,67.4043,51.7452,87.8022,10.9039,8.5051,13.3028,12.9665,7.1788,23.4206,59.0765,44.1024,79.1348
30036,Chandler Regional Hospital,Chandler,AZ,80,14.3542,8.1506,25.2797,71.8347,55.5269,92.9319,4.9548,3.6121,6.2975,41.8264,30.0211,58.2739,1.8271,1.088,2.5661,,,,,,,78.9643,61.553,101.3007,10.5007,8.0716,12.9299,14.5659,8.2678,25.6617,68.9706,53.1863,89.4392
30038,Scottsdale Healthcare-Osborn,Scottsdale,AZ,97,16.684,10.2198,27.2368,61.8376,48.1085,79.4846,4.6153,3.396,5.8346,36.6403,26.3015,51.0433,1.4054,0.7343,2.0765,,,,,,,75.5406,60.1407,94.884,12.0122,9.8063,14.2181,12.0174,6.8223,21.1687,62.3608,47.982,81.0485
30055,Kingman Regional Medical Center,Kingman,AZ,85,36.1591,25.4234,51.4283,65.1791,50.1535,84.7062,5.6838,4.3812,6.9864,17.3505,10.4578,28.7861,0.7427,0.0257,1.4596,,,,,,,50.2934,37.294,67.8241,8.6463,6.2896,11.003,,,,15.7849,9.1646,27.1874
30061,Sun Health Boswell Hospital,Sun City,AZ,145,17.9235,12.1089,26.5303,58.377,47.1906,72.2151,4.8378,3.8403,5.8354,26.8565,19.5364,36.9192,1.4169,0.8678,1.966,9.3024,5.2807,16.3868,,,,78.2786,65.1898,93.9954,13.0707,11.2659,14.8755,18.2141,12.4831,26.5762,68.2485,55.7406,83.5632
30064,University Medical Center-Tucson,Tucson,AZ,85,29.6862,20.2092,43.6074,61.6799,47.1174,80.7433,4.8611,3.5587,6.1635,37.3336,26.3957,52.804,1.9561,1.2392,2.673,13.729,7.7938,24.1841,,,,50.5535,37.4884,68.172,7.0105,4.6542,9.3668,,,,46.0213,33.6189,62.9992
30065,Banner Desert Medical Center,Mesa,AZ,107,17.1738,10.9526,26.9287,62.5135,49.3681,79.159,4.7172,3.5562,5.8783,30.0753,21.3759,42.3151,1.2083,0.5693,1.8473,12.4261,7.2123,21.4091,,,,79.3846,64.0901,98.3289,11.6132,9.5127,13.7137,16.1899,10.1952,25.7094,60.8421,47.4248,78.0554
30085,Northwest Medical Center,Tucson,AZ,134,18.5806,12.5529,27.5026,57.2401,45.8424,71.4716,4.5912,3.5536,5.6288,40.544,31.0429,52.9532,2.3318,1.7607,2.9029,20.5582,13.9896,30.2111,7.9273,4.3876,14.3225,76.4226,62.9903,92.7192,12.1649,10.2877,14.0421,12.3693,7.686,19.9064,63.8389,51.2641,79.4982
30087,Scottsdale Healthcare-Shea,Scottsdale,AZ,141,21.8934,15.3048,31.3183,64.6341,52.5631,79.4772,5.1119,4.1004,6.1234,33.77,25.2876,45.0978,1.3807,0.824,1.9375,,,,,,,72.8108,60.0691,88.2552,12.2737,10.4436,14.1038,9.1405,5.3053,15.7479,64.8621,52.741,79.769
30088,Banner Baywood Medical Center,Mesa,AZ,154,11.3421,7.0499,18.2475,62.6915,51.4234,76.4286,4.5092,3.5412,5.4772,39.2159,30.3742,50.6313,2.0333,1.5005,2.5661,,,,11.9276,7.5093,18.9456,79.6123,66.7971,94.886,12.3519,10.6006,14.1032,13.6645,8.9924,20.7638,64.2683,52.3766,78.8598
30089,Banner Thunderbird Medical Center,Glendale,AZ,99,12.0219,6.8261,21.1724,66.9832,52.5185,85.4318,5.251,4.0437,6.4582,39.0849,28.5457,53.515,2.1838,1.5194,2.8483,17.2959,10.7448,27.8412,,,,84.8482,68.4952,105.1055,13.3641,11.1799,15.5483,20.0406,12.9195,31.0867,65.7697,51.929,83.2993
30093,Del E. Webb Memorial Hospital,Sun City West,AZ,123,13.7817,8.5663,22.1722,62.8511,50.3363,78.4774,5.0656,3.9827,6.1485,39.2904,29.6008,52.1519,1.926,1.3299,2.522,,,,,,,83.056,68.3939,100.8613,12.279,10.3198,14.2382,18.3256,12.1715,27.5911,55.5248,43.6914,70.5631
30101,Western Arizona Regional Medical Center,Bullhead City,AZ,80,24.3581,15.7106,37.7654,75.9626,59.0918,97.6499,4.9336,3.5907,6.2765,34.3503,23.8614,49.4498,1.7151,0.9759,2.4542,,,,,,,47.2198,34.2059,65.1848,6.2527,3.823,8.6823,,,,32.3654,22.1903,47.2061
30103,Mayo Clinic Hospital,Phoenix,AZ,199,12.9382,8.8079,19.0051,52.6069,43.5972,63.4785,3.7151,2.8635,4.5666,19.1223,13.9112,26.2856,0.6249,0.1562,1.0936,7.9507,4.7914,13.1929,,,,81.4452,69.8743,94.9321,14.0559,12.5153,15.5966,10.0001,6.5172,15.3442,69.7931,58.5556,83.1871
40004,Washington Regional Medical Center,Fayetteville,AR,96,22.1925,14.6103,33.7095,61.2235,47.6305,78.6959,4.2793,3.0537,5.505,25.4192,17.1724,37.6265,0.7644,0.0898,1.439,,,,,,,64.6664,50.4101,82.9545,10.4331,8.2157,12.6505,,,,40.383,29.1247,55.9933
40007,St. Vincent Infirmary Medical Center,Little Rock,AR,131,29.9246,21.8583,40.9676,60.8387,48.7915,75.8604,6.3212,5.2717,7.3708,23.7398,16.6907,33.7662,1.3355,0.7578,1.9132,9.0325,5.1271,15.9127,11.158,6.7216,18.5225,54.5028,43.2534,68.6781,9.2443,7.3454,11.1432,,,,43.6463,33.6582,56.5985
40014,White County Medical Center - South Campus,Searcy,AR,110,28.1375,19.6679,40.2543,69.8134,55.4928,87.8296,5.6493,4.504,6.7947,10.0983,5.5912,18.2385,0.1304,-0.5001,0.7608,,,,,,,57.9623,45.3583,74.0686,9.855,7.7828,11.9272,,,,17.7171,11.6635,26.9125
40016,UAMS Medical Center,Little Rock,AR,132,30.4229,22.4782,41.1756,57.9103,46.3792,72.3083,5.9237,4.8783,6.9691,30.6673,22.5749,41.6605,1.1829,0.6075,1.7583,7.7295,4.2789,13.9629,8.6714,5.1319,14.6522,59.323,47.5093,74.0743,10.0427,8.1513,11.934,9.9345,5.7663,17.1157,44.5694,34.3716,57.7928
40020,St. Bernards Medical Center,Jonesboro,AR,134,33.7994,25.2291,45.2809,74.4374,61.1782,90.5702,5.9233,4.8856,6.9611,16.2238,10.68,24.6453,0.7859,0.2148,1.3571,15.9922,10.4205,24.5433,,,,46.2108,36.022,59.2814,7.0849,5.2074,8.9624,,,,38.2464,29.0599,50.3369
40026,St. Joseph's Mercy Health Center,Hot Springs,AR,190,27.2855,20.8922,35.6353,67.3286,56.7597,79.8656,6.3003,5.4287,7.1719,15.687,11.0293,22.3116,0.5571,0.0773,1.0368,8.2926,5.0777,13.5428,,,,46.5505,37.7219,57.4453,7.1085,5.5316,8.6855,7.68,4.6279,12.7449,43.6131,35.0214,54.3127
40027,Baxter Regional Medical Center,Mountain Home,AR,118,30.5723,22.3317,41.8537,69.0726,55.9054,85.3409,5.1229,4.0172,6.2286,19.8579,13.4149,29.3953,0.4728,-0.1357,1.0814,,,,,,,55.6152,43.5238,71.0656,9.6762,7.6758,11.6766,,,,25.1488,17.3615,36.4291
40036,Baptist Health Medical Center,North Little Rock,AR,95,30.1498,20.8128,43.6755,62.9685,48.8851,81.1093,6.0533,4.8211,7.2854,30.8093,21.4043,44.3467,1.5315,0.8533,2.2097,,,,12.3983,6.8619,22.4017,63.8734,49.6893,82.1064,10.8626,8.6333,13.0919,,,,48.7487,36.2698,65.521
40055,Sparks Regional Medical Center,Fort Smith,AR,94,23.4988,15.4704,35.6936,52.8667,40.0648,69.7591,4.1097,2.8711,5.3482,15.9011,9.5846,26.3802,0.3643,-0.3174,1.0461,,,,,,,67.6646,52.9547,86.4607,11.8413,9.6005,14.0822,,,,39.8893,28.8963,55.0644
40062,St. Edward Mercy Medical Center,Fort Smith,AR,141,37.3362,28.5153,48.8856,62.5607,50.7566,77.11,6.0254,5.0137,7.0371,18.8624,12.932,27.5124,0.5383,-0.0186,1.0951,8.5323,4.8432,15.0315,,,,55.2607,44.2541,69.0047,8.8984,7.068,10.7288,,,,44.4269,34.7638,56.7761
40071,Jefferson Regional Medical Center,Pine Bluff,AR,92,29.0644,19.926,42.3937,66.9739,52.0999,86.0942,5.986,4.7336,7.2383,21.4879,13.8587,33.3169,0.8904,0.2011,1.5797,,,,,,,61.807,47.5545,80.3312,9.6764,7.4106,11.9422,,,,29.6595,20.4738,42.9664
40114,Baptist Health Medical Center,Little Rock,AR,240,38.4044,31.4307,46.9253,58.4641,49.6171,68.8885,6.4405,5.6648,7.2163,20.9477,15.9571,27.4991,1.4103,0.9833,1.8373,12.0346,8.4086,17.2242,14.9695,10.9253,20.5108,52.0111,43.5771,62.0773,9.0288,7.6254,10.4323,9.6195,6.3889,14.4838,53.1848,44.6181,63.3965
50007,Mills-Peninsula Health Services,Burlingame,CA,110,34.639,25.1993,47.6148,70.657,56.667,88.1009,5.2023,4.0572,6.3474,29.1325,20.5967,41.2059,1.4986,0.8683,2.1288,,,,,,,38.178,28.2108,51.6666,6.5301,4.4584,8.6019,,,,57.5475,44.6723,74.1334
50026,Sharp Grossmont Hospital,La Mesa,CA,95,35.5507,24.9973,50.5596,76.0611,60.1694,96.1502,5.9765,4.7444,7.2086,44.2218,32.3019,60.5403,2.3629,1.6848,3.0411,,,,,,,65.8982,51.6689,84.0461,7.4007,5.1716,9.6298,17.0485,10.4399,27.8405,50.1574,37.5617,66.9768
50039,Enloe Medical Center,Chico,CA,132,27.9978,20.2809,38.6511,55.8974,44.57,70.1037,4.1749,3.1294,5.2204,21.0737,14.5468,30.529,0.7279,0.1525,1.3034,,,,,,,50.2855,39.4999,64.0161,8.6089,6.7174,10.5004,,,,39.3301,29.8023,51.9039
50043,Alta Bates Summit Medical Center-Oakland,Oakland,CA,116,42.5729,32.2542,56.1927,65.6499,52.4211,82.2171,6.5418,5.4262,7.6573,28.0303,19.9196,39.4434,1.5221,0.908,2.1361,12.693,7.7699,20.7354,,,,30.7036,22.041,42.771,5.5122,3.4939,7.5304,,,,52.6862,40.9779,67.7398
50047,California Pacific Medical Center,San Francisco,CA,128,31.76,23.2011,43.4762,63.1392,50.7096,78.6155,5.3808,4.3193,6.4422,39.0102,29.3914,51.7769,1.736,1.1518,2.3202,14.0496,8.7307,22.6087,,,,42.0452,32.2771,54.7695,6.8757,4.9553,8.7961,,,,51.071,39.9655,65.2624
50057,Kaweah Delta Health Care District,Visalia,CA,144,44.3575,34.6416,56.7982,69.0418,56.7441,84.0046,6.2641,5.263,7.2652,19.6777,13.5833,28.5066,0.6396,0.0886,1.1906,9.0466,5.1355,15.9364,,,,33.8497,25.5794,44.7941,3.987,2.1758,5.7982,10.1204,6.0981,16.7959,33.3327,24.9618,44.5108
50060,Community Medical Center,Fresno,CA,100,43.0882,31.9484,58.1122,72.8076,57.9654,91.4502,6.5808,5.3798,7.7817,35.5928,25.6671,49.357,2.167,1.506,2.828,22.1947,14.6056,33.7271,,,,25.9215,17.6474,38.0748,3.1418,0.969,5.3146,,,,33.262,23.518,47.0432
50069,St. Joseph Hospital,Orange,CA,126,39.9076,30.2411,52.6641,73.1686,59.7055,89.6675,6.184,5.1142,7.2539,38.8424,29.2649,51.5543,2.0861,1.4972,2.6749,15.1956,9.5703,24.1274,12.4554,7.7387,20.047,47.7388,37.1398,61.3627,5.8849,3.9493,7.8204,10.8558,6.4272,18.3358,61.9167,49.3662,77.6579
50077,Scripps Mercy Hospital,San Diego,CA,124,25.118,17.5589,35.9313,61.3311,48.9034,76.9172,5.517,4.4384,6.5956,23.8598,16.5768,34.3425,1.6359,1.0422,2.2296,11.2462,6.5275,19.376,,,,65.7184,52.9884,81.5068,9.5796,7.6282,11.531,15.2735,9.7373,23.9572,48.1716,37.3937,62.0559
50084,St. Joseph's Medical Center,Stockton,CA,166,31.2751,23.8263,41.0527,67.4447,56.1257,81.0464,4.9135,3.9812,5.8459,21.0238,15.0913,29.2885,0.6597,0.1465,1.1729,10.7521,6.6811,17.3036,6.747,3.7344,12.1899,39.9289,31.3654,50.8304,6.4321,4.7453,8.1189,7.1216,4.0429,12.545,25.3788,18.6126,34.6048
50093,St. Agnes Medical Center,Fresno,CA,301,41.0415,34.4542,48.8882,71.6773,62.7932,81.8184,6.0713,5.3785,6.764,24.4751,19.4819,30.7481,1.2824,0.9011,1.6637,11.6546,8.3225,16.3206,11.8798,8.6712,16.2756,42.1016,35.35,50.1426,5.1918,3.9384,6.4452,7.4847,4.9713,11.2688,36.577,30.2009,44.2992
50100,Sharp Memorial Hospital,San Diego,CA,93,34.9317,24.5613,49.6807,54.9045,41.6085,72.4492,4.3854,3.1401,5.6307,34.5763,24.3102,49.1777,1.9272,1.2418,2.6126,,,,,,,58.7014,45.1686,76.2888,10.109,7.856,12.3619,,,,46.9987,34.9679,63.1687
50108,Sutter Medical Center,Sacramento,CA,153,32.3832,24.604,42.622,57.3449,46.5799,70.5977,4.6658,3.6946,5.6371,28.3189,21.0675,38.0663,1.4146,0.8801,1.9492,,,,,,,43.7647,34.3774,55.7152,9.2487,7.4915,11.0059,,,,33.1277,25.1024,43.7188
50115,Palomar Medical Center,Escondido,CA,80,26.1415,17.0416,40.1005,62.9571,47.9686,82.6288,4.2749,2.9324,5.6175,31.4058,21.2165,46.4887,1.9066,1.1677,2.6456,,,,,,,71.1582,54.7549,92.4756,10.2919,7.863,12.7209,15.8552,9.2026,27.317,44.6923,31.7675,62.8755
50128,Tri-City Medical Center,Oceanside,CA,91,15.6744,9.2823,26.4685,57.8132,44.275,75.4911,3.9445,2.6858,5.2032,37.2938,26.5083,52.4676,1.8533,1.1605,2.546,,,,,,,68.2487,53.3097,87.374,11.2583,8.9811,13.5356,,,,34.6664,23.9329,50.2137
50133,Rideout Memorial Hospital,Marysville,CA,105,34.8734,25.2598,48.1458,68.8388,54.7179,86.6038,5.9982,4.826,7.1705,26.8409,18.6461,38.6371,1.3842,0.739,2.0295,,,,,,,49.2461,37.4195,64.8106,7.8252,5.7043,9.9461,10.0774,5.5777,18.2072,32.3713,23.1249,45.3147
